City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Sao Filipe,CV,68.52,overcast clouds,14.9,-24.5,Tortuga B&B
3,Bahir Dar,ET,75.31,scattered clouds,11.59,37.39,"Delano Hotel, Bahir Dar"
7,Matara,LK,75.51,overcast clouds,5.95,80.54,Amaloh Boutique Resort
9,Hilo,US,70.0,scattered clouds,19.73,-155.09,Hilo Hawaiian Hotel
10,Vaini,TO,77.0,broken clouds,-21.2,-175.2,Keleti Beach Resort
17,Saldanha,ZA,78.8,clear sky,-33.01,17.94,Blue Bay Lodge
25,Kapaa,US,69.8,clear sky,22.08,-159.32,Sheraton Kauai Resort at Coconut Beach
33,Port Elizabeth,ZA,62.6,clear sky,-33.92,25.57,39 On Nile Guest House
35,Saint-Philippe,RE,77.0,clear sky,-21.36,55.77,"Chambres d'hôte ""La Trinité"""
36,Rio Gallegos,AR,62.6,scattered clouds,-51.62,-69.22,Hotel Santa Cruz
37,Ponta Delgada,PT,60.8,few clouds,37.73,-25.67,Vila Nova Hotel
38,Walvis Bay,,64.4,scattered clouds,-22.96,14.51,Oyster Box Guesthouse
45,Flinders,AU,69.01,overcast clouds,-34.58,150.86,Shellharbour Resort & Conference Centre
49,Hermanus,ZA,73.0,clear sky,-34.42,19.23,Misty Waves Boutique Hotel
57,Guerrero Negro,MX,63.03,overcast clouds,27.98,-114.06,"Casa Laguna, Bed & Breakfast"
59,Souillac,MU,77.0,broken clouds,-20.52,57.52,Bils' Villa
61,Luderitz,,68.49,clear sky,-26.65,15.16,LÜDERITZ NEST HOTEL
63,East London,ZA,66.2,few clouds,-33.02,27.91,Tu Casa
65,Manokwari,ID,73.96,overcast clouds,-0.87,134.08,Swiss Belhotel Manokwari
67,Geraldton,AU,73.4,clear sky,-28.77,114.6,Broadwater Mariner Resort
68,Coihaique,CL,68.0,broken clouds,-45.58,-72.07,Diego De Almagro Coyhaique
71,Bredasdorp,ZA,66.2,clear sky,-34.53,20.04,Bredasdorp Country Manor
72,Ribeira Grande,PT,62.6,broken clouds,38.52,-28.7,Quinta da Meia Eira
73,Cadiz,ES,64.99,clear sky,36.5,-5.75,Hacienda Barriche
76,Kahului,US,73.4,few clouds,20.89,-156.47,Maui Seaside Hotel
83,Teguise,ES,73.4,haze,29.06,-13.56,B&B La Casona de Nazaret
86,Bambous Virieux,MU,77.0,broken clouds,-20.34,57.76,Casa Tia Villa
89,Faya,SA,66.2,broken clouds,18.39,42.45,مقبرة ال مجمل
90,Muros,ES,62.01,clear sky,42.78,-9.06,Apartment Av. Castelao
92,Port Alfred,ZA,63.0,broken clouds,-33.59,26.89,The Halyards Hotel
93,Namibe,AO,75.15,overcast clouds,-15.2,12.15,Chik-Chik Namibe
97,Nago,JP,62.6,scattered clouds,26.59,127.98,Hotel Yugaf Inn Okinawa
101,Constitucion,CL,64.58,scattered clouds,-35.33,-72.42,Hotel Boutique Las Azucenas
