City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain inches (last 3 hrs),Snow inches (last 3 hrs)
0,Khatanga,RU,2020-02-23 18:27:20,71.97,102.5,12.67,92,98,15.46,light snow,0.0,0.25
1,Sao Filipe,CV,2020-02-23 18:27:20,14.9,-24.5,68.52,83,100,18.84,overcast clouds,0.0,0.0
2,Albany,US,2020-02-23 18:27:21,42.6,-73.97,51.01,29,75,4.7,broken clouds,0.0,0.0
3,Bahir Dar,ET,2020-02-23 18:26:17,11.59,37.39,75.31,25,35,7.09,scattered clouds,0.0,0.0
4,Butaritari,KI,2020-02-23 18:25:37,3.07,172.79,84.7,76,100,17.56,moderate rain,6.37,0.0
5,Milkovo,RU,2020-02-23 18:21:05,54.72,158.62,-4.72,99,100,0.45,light snow,0.0,0.19
6,Ambanja,MG,2020-02-23 18:27:21,-13.68,48.45,78.33,84,100,4.65,light rain,0.19,0.0
7,Matara,LK,2020-02-23 18:27:21,5.95,80.54,75.51,87,94,10.89,overcast clouds,0.0,0.0
8,Provideniya,RU,2020-02-23 18:27:22,64.38,-173.3,-9.76,73,0,2.24,clear sky,0.0,0.0
9,Hilo,US,2020-02-23 18:27:22,19.73,-155.09,70.0,64,40,4.7,scattered clouds,0.0,0.0
10,Vaini,TO,2020-02-23 18:27:22,-21.2,-175.2,77.0,100,75,6.93,broken clouds,0.0,0.0
11,Superior,US,2020-02-23 18:27:22,46.72,-92.1,44.6,48,75,13.87,broken clouds,0.0,0.0
12,Busselton,AU,2020-02-23 18:21:06,-33.65,115.33,68.0,44,93,15.14,light rain,0.69,0.0
13,Ushuaia,AR,2020-02-23 18:21:06,-54.8,-68.3,51.8,71,75,12.75,shower rain,0.0,0.0
14,Hithadhoo,MV,2020-02-23 18:21:07,-0.6,73.08,83.26,78,100,14.05,light rain,2.13,0.0
15,Harper,LR,2020-02-23 18:21:07,4.38,-7.72,81.03,87,98,6.22,light rain,2.75,0.0
16,Haines Junction,CA,2020-02-23 18:27:23,60.75,-137.51,5.56,95,100,4.74,light snow,0.0,0.94
17,Saldanha,ZA,2020-02-23 18:25:53,-33.01,17.94,78.8,34,0,12.75,clear sky,0.0,0.0
18,Lorengau,PG,2020-02-23 18:27:24,-2.02,147.27,83.43,71,10,6.78,clear sky,0.0,0.0
19,Atuona,PF,2020-02-23 18:27:24,-9.8,-139.03,81.3,78,20,15.3,light rain,0.5,0.0
20,Batticaloa,LK,2020-02-23 18:25:02,7.71,81.69,73.71,94,68,3.2,light rain,0.31,0.0
21,Awbari,LY,2020-02-23 18:27:25,26.59,12.78,56.25,44,0,7.9,clear sky,0.0,0.0
22,Yellowknife,CA,2020-02-23 18:27:15,62.46,-114.35,-8.0,69,40,8.05,scattered clouds,0.0,0.0
23,Hadejia,NG,2020-02-23 18:27:25,12.45,10.04,80.62,13,1,10.49,clear sky,0.0,0.0
24,Rikitea,PF,2020-02-23 18:27:25,-23.12,-134.97,78.37,74,2,8.25,light rain,0.44,0.0
25,Kapaa,US,2020-02-23 18:27:25,22.08,-159.32,69.8,82,1,9.17,clear sky,0.0,0.0
26,Nanortalik,GL,2020-02-23 18:27:25,60.14,-45.24,26.92,89,100,6.69,light snow,0.0,0.81
27,Lanquin,GT,2020-02-23 18:27:26,15.57,-89.97,73.63,63,60,4.88,light rain,0.12,0.0
28,Goya,AR,2020-02-23 18:27:26,-29.14,-59.26,85.35,22,27,5.86,scattered clouds,0.0,0.0
29,Bluff,NZ,2020-02-23 18:27:26,-46.6,168.33,51.01,91,40,3.0,scattered clouds,0.0,0.0
30,Punta Arenas,CL,2020-02-23 18:27:26,-53.15,-70.92,57.2,58,75,28.86,light intensity shower rain,0.0,0.0
31,Hobart,AU,2020-02-23 18:27:27,-42.88,147.33,57.2,76,99,4.7,overcast clouds,0.0,0.0
32,Omsukchan,RU,2020-02-23 18:27:27,62.53,155.8,-13.36,98,98,1.32,overcast clouds,0.0,0.0
33,Port Elizabeth,ZA,2020-02-23 18:26:31,-33.92,25.57,62.6,72,8,3.36,clear sky,0.0,0.0
34,Saint George,US,2020-02-23 18:26:52,37.1,-113.58,50.0,81,1,4.7,clear sky,0.0,0.0
35,Saint-Philippe,RE,2020-02-23 18:27:02,-21.36,55.77,77.0,78,0,3.36,clear sky,0.0,0.0
36,Rio Gallegos,AR,2020-02-23 18:27:29,-51.62,-69.22,62.6,36,40,16.11,scattered clouds,0.0,0.0
37,Ponta Delgada,PT,2020-02-23 18:27:29,37.73,-25.67,60.8,87,20,8.05,few clouds,0.0,0.0
38,Walvis Bay,NA,2020-02-23 18:26:21,-22.96,14.51,64.4,82,30,6.93,scattered clouds,0.0,0.0
39,Jamestown,US,2020-02-23 18:27:30,42.1,-79.24,46.0,26,1,16.11,clear sky,0.0,0.0
40,Sorland,NO,2020-02-23 18:27:30,67.67,12.69,33.8,86,90,44.96,light shower snow,0.0,0.0
41,Mar Del Plata,AR,2020-02-23 18:27:30,-38.0,-57.56,81.0,53,20,11.41,few clouds,0.0,0.0
